6300208710,"['Movies & TV', 'Genre for Featured Categories', 'Romance']"
6300208788,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
630020880X,"['Movies & TV', 'Genre for Featured Categories', 'Westerns']"
6300208915,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
6300209059,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
6300210502,"['Movies & TV', 'TV']"
6300213080,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6300213234,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6300213277,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6300213315,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6300213463,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6300213544,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6300213625,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6300215466,"['Movies & TV', 'Classics', 'Silent Films', 'Action & Adventure']"
6300215474,"['Movies & TV', 'Classics', 'Silent Films', 'Drama']"
6300217523,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
6300218163,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6300246116,"['Movies & TV', 'Genre for Featured Categories', 'Sports']"
630024833X,"['CDs & Vinyl', 'Metal', 'Pop Metal']"
630024847X,"['Movies & TV', 'Art House & International', 'By Country', 'United Kingdom']"
6300248690,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
6300250237,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6300250253,"['CDs & Vinyl', 'Metal', 'British Metal']"
6300252221,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6300252337,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6300253244,"['Movies & TV', 'Genre for Featured Categories', 'Horror']"
6300255395,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
6300262677,"['Movies & TV', 'Genre for Featured Categories', 'Horror']"
6300262995,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6300266869,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
6300270335,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6300270777,"['Movies & TV', 'Genre for Featured Categories', 'Kids & Family']"
6300276635,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6300278646,"['Movies & TV', 'Genre for Featured Categories', 'Sports']"
6300279952,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
6300988651,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6300988708,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6300988724,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6300988732,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6300991784,"['Movies & TV', 'Genre for Featured Categories', 'Horror']"
6301017250,"['Movies & TV', 'Genre for Featured Categories', 'Horror']"
6301035739,"['Movies & TV', 'Genre for Featured Categories', 'Horror']"
630105539X,"['Movies & TV', 'Genre for Featured Categories', 'Documentary']"
6301063163,"['Movies & TV', 'Art House & International', 'By Country', 'United Kingdom', 'Drama']"
6301071387,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Kids & Family']"
6301072650,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
6301094425,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6301140915,"['Movies & TV', 'TV']"
6301149556,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
6301151089,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6301175301,"['Movies & TV', 'Genre for Featured Categories', 'Kids & Family']"
6301208560,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
630122468X,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
6301253779,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
6301275373,"['Movies & TV', 'Genre for Featured Categories', 'Horror']"
6301320352,"['Movies & TV', 'Genre for Featured Categories', 'Anime & Manga']"
6301394585,"['Movies & TV', 'Genre for Featured Categories', 'Kids & Family']"
6301395158,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6301415116,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Drama']"
6301465482,"['Movies & TV', 'Animation', 'By Animator', 'Ralph Bakshi']"
6301472209,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
6301497368,"['Movies & TV', 'Genre for Featured Categories', 'Horror']"
6301520203,"['Movies & TV', 'Genre for Featured Categories', 'Documentary']"
6301524292,"['Movies & TV', 'Genre for Featured Categories', 'Sports']"
6301528905,"['Movies & TV', 'TV']"
6301536797,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6301540336,"['Movies & TV', 'Art House & International', 'By Country', 'Italy', 'Classics']"
6301556941,"['Movies & TV', 'Genre for Featured Categories', 'Sports']"
6301564499,"['Movies & TV', 'Genre for Featured Categories', 'Sports']"
